trait_id	original_category	product_module	trait_name_original	trait_name_consumer_friendly	scientific_description_short	what_can_be_tested	what_cannot_be_claimed	number_of_rsids	rsids	genes_cleaned	has_pdf_only_candidate_rsids	has_structured_catalog_rsids	marker_validation_status	requires_external_annotation	requires_clinvar_review	requires_gwas_review	requires_pharmgkb_review	requires_manual_scientific_review	privacy_or_regulatory_sensitivity	recommended_product_tier	mvp_include_candidate_yes_no	reason_for_tier	recommended_report_language	required_caveat	notes
wg-1582	genetic_disease	Disease Risk (Sensitive)	Branchiootorenal Spectrum Disorder	Branchiootorenal Spectrum Disorder	Genetic variants associated with Branchiootorenal Spectrum Disorder. Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Branchiootorenal Spectrum Disorder.	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	3	rs397517;rs201509408;rs727504494	EYA1	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-2165	genetic_disease	Disease Risk (Sensitive)	Bruck Syndrome (BS)	Bruck Syndrome (BS)	Genetic variants associated with Bruck Syndrome (BS). Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Bruck Syndrome (BS).	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	3	rs387906960;rs794727669;rs869320752	COL1A2;FKBP10	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-1726	genetic_disease	Disease Risk (Sensitive)	Brugada Syndrome	Brugada Syndrome	Genetic variants associated with Brugada Syndrome. Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Brugada Syndrome.	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	2	rs12720;rs19947	CACNA1C;CAV3;KCNH2;KCNJ2;KCNQ1;SCN1B;SCN5A	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-1963	infection_risk	Disease Risk (Sensitive)	Candida Infection	Candida Infection	Genetic variants associated with Candida Infection. Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Candida Infection.	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	1	rs4845320	LCE4A	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-2117	genetic_disease	Disease Risk (Sensitive)	Cardiofaciocutaneous Syndrome (CFC)	Cardiofaciocutaneous Syndrome (CFC)	Genetic variants associated with Cardiofaciocutaneous Syndrome (CFC). Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Cardiofaciocutaneous Syndrome (CFC).	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	5	rs39750;rs79704;rs104894361;rs104894362;rs1057519732	APOB;ATF6;BRAF;CC2D2A;CEP290;CFTR;CNGA3;CNGB3;COASY;CTRC;GNPTA;GNPTAB;GNPTG;KRAS;MAP2K1;MAP2K2;MCOLN;MCOLN1;MKS1;OCA2;PDE6C;PLA2G6;PRSS1;RPGRIP;SLC45A2;SPINK1;TMEM2;TMEM216;TMEM67;TYR;TYRP1;UBE3A;WDR45	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-1769	health_risk	Disease Risk (Sensitive)	Cataract	Cataract	Genetic variants associated with Cataract. Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Cataract.	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	8	rs7615568;rs7548209;rs8176318;rs1695;rs1136410;rs7366355;rs3176459;rs7543472	CASC15;CDKN2C;EPHX1;ESR2;GSTP1;INPP4A;KCNAB1;NPPA;OCA2;SLC6A7;TLR2	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-1731	genetic_disease	Disease Risk (Sensitive)	Catecholaminergic Polymorphic Ventricular Tachycardia (CPVT)	Catecholaminergic Polymorphic Ventricular Tachycardia (CPVT)	Genetic variants associated with Catecholaminergic Polymorphic Ventricular Tachycardia (CPVT). Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Catecholaminergic Polymorphic Ventricular Tachycardia (CPVT).	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	3	rs12143;rs20121;rs88603	ATM;BRAF;CASQ2;DSP;GJA5;KCNQ1;PEX1;PEX6;PKP2;RYR2;TRDN	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-2249	exposure_risk	Disease Risk (Sensitive)	Cats	Cats	Genetic variants associated with Cats. Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Cats.	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	1	rs7216389	GSDMB;GSTP1;INPP4A;NPPA;SLC6A7;TLR2	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-1483	health_risk	Disease Risk (Sensitive)	Celiac Disease	Celiac Disease	Genetic variants associated with Celiac Disease. Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Celiac Disease.	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	9	rs11221332;rs802734;rs2187668;rs17035378;rs653178;rs9851967;rs2305767;rs917997;rs6441961	AHI1;APOL1;BACH2;IFIH1;LPP;MTHFS;MYO9B;PLA2R1;PUS10;RPL3L;SYNPR	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-2148	genetic_disease	Disease Risk (Sensitive)	Centronuclear Myopathy (CNM)	Centronuclear Myopathy (CNM)	Genetic variants associated with Centronuclear Myopathy (CNM). Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Centronuclear Myopathy (CNM).	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	1	rs587783343	BIN1	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-2166	genetic_disease	Disease Risk (Sensitive)	Charcot-Marie-Tooth Disease (CMT)	Charcot-Marie-Tooth Disease (CMT)	Genetic variants associated with Charcot-Marie-Tooth Disease (CMT). Disease risk markers require clinical validation.	No genetic markers identified in the structured catalog.	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	0			no	no	no_markers	no	yes	no	no	no	high	E	no	No rsIDs linked to this trait.	N/A - no markers or not suitable	No genetic markers identified. Not suitable for commercial reporting.	
wg-2098	genetic_disease	Disease Risk (Sensitive)	Chediak-Higashi Syndrome (CHS)	Chediak-Higashi Syndrome (CHS)	Genetic variants associated with Chediak-Higashi Syndrome (CHS). Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Chediak-Higashi Syndrome (CHS).	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	3	rs28942077;rs80338642;rs80338643	LYST	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-2267	exposure_risk	Disease Risk (Sensitive)	Chlorinated Solvents	Chlorinated Solvents	Genetic variants associated with Chlorinated Solvents. Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Chlorinated Solvents.	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	2	rs12917;rs1805794	MGMT;NBN	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-1989	genetic_disease	Disease Risk (Sensitive)	Cholestasis	Cholestasis	Genetic variants associated with Cholestasis. Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Cholestasis.	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	3	rs121909098;rs72549402;rs758069019	ABCB11;ABCB4;ATP8B1	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-2149	genetic_disease	Disease Risk (Sensitive)	Choroidal Dystrophy, Central Areolar (CACD)	Choroidal Dystrophy, Central Areolar (CACD)	Genetic variants associated with Choroidal Dystrophy, Central Areolar (CACD). Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Choroidal Dystrophy, Central Areolar (CACD).	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	1	rs121918567	PRPH2	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-2095	genetic_disease	Disease Risk (Sensitive)	Choroideremia	Choroideremia	Genetic variants associated with Choroideremia. Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Choroideremia.	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	1	rs132630266	CHM	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-102	health_risk	Disease Risk (Sensitive)	Chronic Lymphocytic Leukemia (CLL)	Chronic Lymphocytic Leukemia (CLL)	Genetic variants associated with Chronic Lymphocytic Leukemia (CLL). Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Chronic Lymphocytic Leukemia (CLL).	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	8	rs4406737;rs13397985;rs4368253;rs735665;rs7944004;rs7176508;rs872071;rs4987855	BCL2;IRF4;PRKD2;SP140	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-72	health_risk	Disease Risk (Sensitive)	Chronic Obstructive Pulmonary Disease (COPD)	Chronic Obstructive Pulmonary Disease (COPD)	Genetic variants associated with Chronic Obstructive Pulmonary Disease (COPD). Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Chronic Obstructive Pulmonary Disease (COPD).	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	7	rs7671261;rs17576;rs3918396;rs7671167;rs3736309;rs8034191;rs503464	ADAM33;AQP5;EGFR;GPC5;HNF1A;MMP9;MPO;TGFB1	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-2275	health_risk	Disease Risk (Sensitive)	Cirrhosis	Cirrhosis	Genetic variants associated with Cirrhosis. Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Cirrhosis.	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	6	rs671;rs58542926;rs739846;rs1799992;rs738409;rs28929474	ADH1B;ADH1C;AGTR1;ALDH2;APC;APOE;C2;CYP1A1;EFCAB11;EPHX1;GSTP1;HMBS;KIF1B;MICA;MIF;MTHFR;PNPLA3;PPARGC1A;SERPINA1;STAT4;TM6SF2	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-2012	genetic_disease	Disease Risk (Sensitive)	Citrullinemia	Citrullinemia	Genetic variants associated with Citrullinemia. Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Citrullinemia.	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	4	rs19283;rs121908638;rs121908647;rs148918985	ASS1;SLC25A13	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-2262	exposure_risk	Disease Risk (Sensitive)	Cleaning Agents	Cleaning Agents	Genetic variants associated with Cleaning Agents. Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Cleaning Agents.	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	5	rs26670;rs79499;rs931127;rs1958980;rs11847351	PCNXL3;PRKD1;SIPA1	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-130	health_risk	Disease Risk (Sensitive)	Cleft Lip and Cleft Palate	Cleft Lip and Cleft Palate	Genetic variants associated with Cleft Lip and Cleft Palate. Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Cleft Lip and Cleft Palate.	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	7	rs1243573;rs987525;rs7017252;rs12543318;rs861020;rs227731;rs287980	IRF6;NTN1;TMEM19	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-2167	genetic_disease	Disease Risk (Sensitive)	Cockayne Syndrome (CS)	Cockayne Syndrome (CS)	Genetic variants associated with Cockayne Syndrome (CS). Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Cockayne Syndrome (CS).	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	3	rs202080674;rs786205166;rs786205167	ERCC6;ERCC8	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-2101	genetic_disease	Disease Risk (Sensitive)	Coenzyme Q10 Deficiency, Primary (COQ10D)	Coenzyme Q10 Deficiency, Primary (COQ10D)	Genetic variants associated with Coenzyme Q10 Deficiency, Primary (COQ10D). Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Coenzyme Q10 Deficiency, Primary (COQ10D).	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	1	rs121918231	COQ2	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-2168	genetic_disease	Disease Risk (Sensitive)	Coffin-Lowry Syndrome (CLS)	Coffin-Lowry Syndrome (CLS)	Genetic variants associated with Coffin-Lowry Syndrome (CLS). Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Coffin-Lowry Syndrome (CLS).	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	2	rs122454130;rs398124177	RPS6KA3	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-2169	genetic_disease	Disease Risk (Sensitive)	Cohen Syndrome (COH)	Cohen Syndrome (COH)	Genetic variants associated with Cohen Syndrome (COH). Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Cohen Syndrome (COH).	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	3	rs180177327;rs140353201;rs140936527	VPS13B	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-44	health_risk	Disease Risk (Sensitive)	Colorectal Cancer	Colorectal Cancer	Genetic variants associated with Colorectal Cancer. Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Colorectal Cancer.	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	7	rs12953717;rs4779584;rs1049174;rs266729;rs4939827;rs10411210;rs4464148	ADIPOQ;APC;CHFR;RHPN2;SMAD7	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-2002	genetic_disease	Disease Risk (Sensitive)	Combined Oxidative Phosphorylation Deficiency (COXPD)	Combined Oxidative Phosphorylation Deficiency (COXPD)	Genetic variants associated with Combined Oxidative Phosphorylation Deficiency (COXPD). Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Combined Oxidative Phosphorylation Deficiency (COXPD).	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	3	rs1370579526;rs1562168768;rs184469579		no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	No genes associated.
wg-2046	genetic_disease	Disease Risk (Sensitive)	Combined Pituitary Hormone Deficiency (CPHD)	Combined Pituitary Hormone Deficiency (CPHD)	Genetic variants associated with Combined Pituitary Hormone Deficiency (CPHD). Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Combined Pituitary Hormone Deficiency (CPHD).	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	3	rs104893763;rs104893764;rs104893765	HESX1;POU1F1;PROP1	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-2083	genetic_disease	Disease Risk (Sensitive)	Cone-Rod Dystrophy (CRD)	Cone-Rod Dystrophy (CRD)	Genetic variants associated with Cone-Rod Dystrophy (CRD). Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Cone-Rod Dystrophy (CRD).	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	3	rs137853041;rs397517974;rs61751407	ABCA4;PROM1;USH2A	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-2108	genetic_disease	Disease Risk (Sensitive)	Congenital Amegakaryocytic Thrombocytopenia (CAMT)	Congenital Amegakaryocytic Thrombocytopenia (CAMT)	Genetic variants associated with Congenital Amegakaryocytic Thrombocytopenia (CAMT). Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Congenital Amegakaryocytic Thrombocytopenia (CAMT).	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	3	rs121913611;rs148434485;rs587778515	MPL	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-2099	genetic_disease	Disease Risk (Sensitive)	Congenital Bile Acid Synthesis Defect (CBAS)	Congenital Bile Acid Synthesis Defect (CBAS)	Genetic variants associated with Congenital Bile Acid Synthesis Defect (CBAS). Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Congenital Bile Acid Synthesis Defect (CBAS).	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	4	rs387906;rs121917814;rs182820353;rs267606650	AKR1D1;AMACR;CDON;HSD3B7;SHH;TGIF1	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-2105	genetic_disease	Disease Risk (Sensitive)	Congenital Disorder of Deglycosylation (CDDG)	Congenital Disorder of Deglycosylation (CDDG)	Genetic variants associated with Congenital Disorder of Deglycosylation (CDDG). Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Congenital Disorder of Deglycosylation (CDDG).	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	3	rs587776982;rs146140738;rs201337954	NGLY1	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-2107	genetic_disease	Disease Risk (Sensitive)	Congenital Disorder of Glycosylation (CDG)	Congenital Disorder of Glycosylation (CDG)	Genetic variants associated with Congenital Disorder of Glycosylation (CDG). Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Congenital Disorder of Glycosylation (CDG).	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	4	rs20050;rs104894533;rs121907933;rs139716296	ALG1;ALG12;PMM2	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
